Part 1: 56120
num: 1501, divisor: 23
num: 1862, divisor: 23
num: 60, divisor: 19
num: 71, divisor: 19
num: 81, divisor: 19
num: 80, divisor: 19
num: 6241, divisor: 13
num: 3600, divisor: 13
num: 9409, divisor: 13
num: 77, divisor: 17
num: 503, divisor: 17
num: 623, divisor: 17
num: 2083, divisor: 17
num: 1203, divisor: 17
num: 3139, divisor: 17
num: 380, divisor: 23
num: 437, divisor: 23
num: 513, divisor: 23
num: 494, divisor: 23
num: 31, divisor: 19
num: 173, divisor: 19
num: 213, divisor: 19
num: 700, divisor: 19
num: 407, divisor: 19
num: 1052, divisor: 19
num: 361, divisor: 13
num: 129, divisor: 17
num: 174, divisor: 17
num: 167, divisor: 17
num: 123, divisor: 17
num: 190, divisor: 23
num: 1083, divisor: 23
num: 1349, divisor: 23
num: 4427, divisor: 23
num: 2565, divisor: 23
num: 6650, divisor: 23
num: 49, divisor: 19
num: 64, divisor: 19
num: 61, divisor: 19
num: 47, divisor: 19
num: 66, divisor: 17
num: 364, divisor: 17
num: 452, divisor: 17
num: 1478, divisor: 17
num: 858, divisor: 17
num: 2219, divisor: 17
num: 304, divisor: 23
num: 399, divisor: 23
num: 380, divisor: 23
num: 285, divisor: 23
num: 28, divisor: 19
num: 127, divisor: 19
num: 156, divisor: 19
num: 498, divisor: 19
num: 292, divisor: 19
num: 745, divisor: 19
num: 104, divisor: 17
num: 136, divisor: 17
num: 129, divisor: 17
num: 98, divisor: 17
num: 171, divisor: 23
num: 798, divisor: 23
num: 988, divisor: 23
num: 3154, divisor: 23
num: 1843, divisor: 23
num: 4712, divisor: 23
num: 152, divisor: 23
num: 40, divisor: 19
num: 49, divisor: 19
num: 38, divisor: 19
num: 4, divisor: 13
num: 60, divisor: 17
num: 269, divisor: 17
num: 332, divisor: 17
num: 1054, divisor: 17
num: 617, divisor: 17
num: 1573, divisor: 17
num: 53, divisor: 17
num: 4, divisor: 17
num: 247, divisor: 23
num: 304, divisor: 23
num: 1178, divisor: 23
num: 26, divisor: 19
num: 95, divisor: 19
num: 116, divisor: 19
num: 211, divisor: 19
num: 530, divisor: 19
num: 23, divisor: 19
num: 7, divisor: 19
num: 25, divisor: 13
num: 85, divisor: 17
num: 104, divisor: 17
num: 395, divisor: 17
num: 11, divisor: 17
num: 152, divisor: 23
num: 722, divisor: 23
num: 1330, divisor: 23
num: 3344, divisor: 23
num: 133, divisor: 23
num: 38, divisor: 23
num: 95, divisor: 23
num: 40, divisor: 19
num: 137, divisor: 19
num: 9, divisor: 19
num: 53, divisor: 17
num: 243, divisor: 17
num: 446, divisor: 17
num: 1117, divisor: 17
num: 47, divisor: 17
num: 15, divisor: 17
num: 34, divisor: 17
num: 247, divisor: 23
num: 855, divisor: 23
num: 57, divisor: 23
num: 38, divisor: 23
num: 23, divisor: 19
num: 87, divisor: 19
num: 154, divisor: 19
num: 378, divisor: 19
num: 21, divisor: 19
num: 11, divisor: 19
num: 85, divisor: 17
num: 288, divisor: 17
num: 22, divisor: 17
num: 15, divisor: 17
num: 133, divisor: 23
num: 551, divisor: 23
num: 969, divisor: 23
num: 2394, divisor: 23
num: 133, divisor: 23
num: 57, divisor: 23
num: 95, divisor: 23
num: 102, divisor: 19
num: 13, divisor: 19
num: 11, divisor: 19
num: 47, divisor: 17
num: 186, divisor: 17
num: 326, divisor: 17
num: 801, divisor: 17
num: 47, divisor: 17
num: 22, divisor: 17
num: 34, divisor: 17
num: 646, divisor: 23
num: 76, divisor: 23
num: 57, divisor: 23
num: 38, divisor: 23
num: 21, divisor: 19
num: 68, divisor: 19
num: 114, divisor: 19
num: 273, divisor: 19
num: 21, divisor: 19
